"technique_name","principle","expected_result","tutorial","mitre_references","judo_references","karate_references","jujitsu_references","status"
"Port Mirror Discovery","mikiri","Identify exposed services even when the visible entry point has been redirected or mirrored.","1. Ask uke for the target IP address. 2. Run nmap against the target. 3. Compare discovered ports with expected defaults. 4. Test the unusual port with the appropriate client. 5. Confirm whether the service is mirrored or redirected.","ATT&CK T1046 Network Service Discovery; D3FEND D3-CAA Connection Attempt Analysis","Mikiri through reading the opponent before commitment; tsukuri by preparing the right line of attack","Mikiri; choosing the right distance and timing before entry","Reading the partner's structure before applying the technique","proposal"
"Filtered Log Trace","yomi","Isolate one hostile signal from noisy system logs.","1. Start live monitoring with tail -f on syslog or journal output. 2. Observe one raw connection event. 3. Add grep filtering by source IP, port, or keyword. 4. Repeat the hostile action. 5. Confirm that only the relevant trace remains visible.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Kuzushi through information control; preparing correct reaction","Mikiri and sen-no-sen through early recognition","Situational reading before response","proposal"
"TTY Capture","go no sen","Locate the active remote terminal session and identify the corresponding local process.","1. Wait for uke to open a remote session. 2. Run w to identify the active TTY. 3. Run ps -fat to map the TTY to a PID. 4. State which process controls the session. 5. Verify by observing session behavior.","D3FEND D3-RTSD Remote Terminal Session Detection; D3FEND D3-PT Process Termination","Go no sen: answer after the opponent has committed","Responsive timing after the attack has become visible","Receiving then identifying the line of attack before countering","proposal"
"Remote Session Cut","kake","Terminate an unauthorized remote session cleanly and decisively.","1. Detect the incoming session. 2. Identify the responsible PID with w and ps. 3. Kill the correct process. 4. Confirm the remote disconnect. 5. Reset the system for the next repetition.","D3FEND D3-PT Process Termination; D3FEND D3-RTSD Remote Terminal Session Detection","Kake as completion after preparation and kuzushi","Decisive finishing after correct timing","Completion of a counter-control sequence","accepted"
"Connection Break","kaeshi","Interrupt a live network connection and reverse initiative.","1. Observe the active session with ss or watch ss. 2. Identify the destination port in use. 3. Run tcpkill on the active port. 4. Wait for uke to lose the session. 5. Use the opening to reconnect or reconfigure.","D3FEND D3-ANAA Administrative Network Activity Analysis; D3FEND D3-PT Process Termination","Kaeshi through immediate reversal after receiving pressure","Countering after the opponent extends into range","Reversal of the attacker's commitment","testing"
"Service Shuffle","kuzushi","Break the attacker's assumptions by changing the visible service posture without losing controlled access.","1. Expose one known service. 2. Let uke discover and begin to target it. 3. Change or redirect the exposed port. 4. Restart the service or apply redirection. 5. Force uke to re-read the environment.","ATT&CK T1046 Network Service Discovery; D3FEND D3-ANAA Administrative Network Activity Analysis","Kuzushi by breaking posture and expectation","Breaking structure before the decisive action","Destroying the partner's prepared line before execution","accepted"
"Dummy Listener","kyojitsu","Create a convincing but limited lure that forces the partner to verify instead of assuming.","1. Start a netcat listener on a chosen port. 2. Let uke discover the open port. 3. Let uke connect with a client. 4. Return limited or ambiguous data. 5. Debrief what evidence was real and what remained uncertain.","ATT&CK T1046 Network Service Discovery; CAPEC-624 Fake Services","Use of invitation and false opening to manipulate reaction","Kyojitsu style guarded and unguarded contrast","Using an apparent opening to draw commitment","accepted"
"Credential Rhythm","tsukuri","Build a controlled sequence of repeated access attempts across discovered services.","1. Discover the target services. 2. Choose one known credential pair. 3. Attempt access over ssh, telnet, or ftp in sequence. 4. Observe which service accepts the entry. 5. Stop once one foothold is established.","ATT&CK T1110.004 Credential Stuffing; ATT&CK T1046 Network Service Discovery","Tsukuri by constructing opportunity across repeated entries","Building the right conditions before the decisive technique","Progressive setup across multiple lines of attack","proposal"
"Lateral Pivot","kaeshi","Use one host as an intermediate point to access a second host and alter attribution.","1. Access uke1 through a remote session. 2. From uke1, open a second session to uke2. 3. Observe that uke2 sees uke1 as the source. 4. Maintain control long enough to demonstrate the pivot. 5. Disconnect and debrief the path.","ATT&CK T1563.001 Remote Service Session Hijacking; ATT&CK T1021 Remote Services","Transition from first grip to second advantage","Changing angle and line after initial entry","Flowing from one engagement to another","testing"
"Port Guessing Drill","sen no sen","Identify the target service by recognizing the attack pattern during the earliest connection attempts.","1. Uke scans or probes ports one by one. 2. Tori watches live logs or socket state. 3. Tori calls out the likely target port before the final connection succeeds. 4. Confirm the guess. 5. Repeat with different ports.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Initiative through reading the opponent's preparation","Sen-no-sen through intercepting intention","Reading intent before full commitment","accepted"
